Aircraft_Code,Plane,Seats,Load_factor,Proportion_passenger_km,Emissions_factor,Ave_flight_length,Type
A319,AIRBUS A319,152,82,33,14.9,445,Domestic
A19N,AIRBUS A319,152,82,33,14.9,445,Domestic
A320,AIRBUS A320-100/200,175,80,26,15,476,Domestic
A20N,AIRBUS A320-100/200,175,80,26,15,476,Domestic
A321,AIRBUS A321,198,72,4,17.6,480,Domestic
A21N,AIRBUS A321,198,72,4,17.6,480,Domestic
AT72,ATR72 200/500/600,70,64,2,6.1,226,Domestic
AT73,ATR72 200/500/600,70,64,2,6.1,226,Domestic
AT75,ATR72 200/500/600,70,64,2,6.1,226,Domestic
AT76,ATR72 200/500/600,70,64,2,6.1,226,Domestic
B738,BOEING 737-800,190,84,6,15.1,501,Domestic
B763,BOEING 767-300ER/F,259,71,2,25.8,536,Domestic
DH8D,BOMBARDIER DASH 8 Q400,78,71,19,7.1,393,Domestic
E170,EMB ERJ170 (170-100),83,70,1,10.6,419,Domestic
E190,EMBRAER ERJ190,106,69,5,12.5,445,Domestic
SB20,SAAB 2000,35,74,2,6.7,371,Domestic
SF34,SAAB FAIRCHILD 340,23,76,1,3.8,308,Domestic
A319,AIRBUS A319,153,82,12,11.4,1033,ShortHaul
A19N,AIRBUS A319,153,82,12,11.4,1033,ShortHaul
A320,AIRBUS A320-100/200,180,80,26,11.3,1355,ShortHaul
A20N,AIRBUS A320-100/200,180,80,26,11.3,1355,ShortHaul
A321,AIRBUS A321,215,82,12,12.6,1840,ShortHaul
A21N,AIRBUS A321,215,82,12,12.6,1840,ShortHaul
A332,AIRBUS A330-200,352,85,0,22.4,2390,ShortHaul
A333,AIRBUS A330-300,298,71,0,23.1,2453,ShortHaul
A359,AIRBUS A350-900,298,82,0,27.1,1851,ShortHaul
AT72,ATR72 200/500/600,71,68,0,5.2,383,ShortHaul
AT73,ATR72 200/500/600,71,68,0,5.2,383,ShortHaul
AT75,ATR72 200/500/600,71,68,0,5.2,383,ShortHaul
AT76,ATR72 200/500/600,71,68,0,5.2,383,ShortHaul
RJ85,AVROLINER RJ85,94,71,0,13.6,523,ShortHaul
B733,BOEING 737-300,152,87,1,11.6,1614,ShortHaul
B734,BOEING 737-400,85,77,0,11.9,1776,ShortHaul
B737,BOEING 737-700,135,79,1,11.2,990,ShortHaul
B738,BOEING 737-800,189,87,37,11.5,1522,ShortHaul
B739,BOEING 737-900,176,85,0,12.9,1017,ShortHaul
B752,BOEING 757-200,177,89,4,14.7,2345,ShortHaul
B753,BOEING 757-300,277,90,1,16.3,2704,ShortHaul
B763,BOEING 767-300ER/F,220,78,1,20.6,1806,ShortHaul
B772,BOEING 777-200,223,74,0,28.2,1949,ShortHaul
B77L,BOEING 777-200,223,74,0,28.2,1949,ShortHaul
B773,BOEING 777-300,357,75,1,30.5,2840,ShortHaul
B77W,BOEING 777-300,357,75,1,30.5,2840,ShortHaul
B788,BOEING 787-800 DREAMLINER,293,93,0,19.6,2655,ShortHaul
DH8D,BOMBARDIER DASH 8 Q400,78,71,0,6.5,540,ShortHaul
E170,EMB ERJ170 (170-100),85,74,0,8.9,722,ShortHaul
E190,EMBRAER ERJ190,105,72,1,10.2,879,ShortHaul
A310,AIRBUS A310,246,82,0,18.5,5488,LongHaul
A320,AIRBUS A320-100/200,171,81,1,10.5,2450,LongHaul
A20N,AIRBUS A320-100/200,171,81,1,10.5,2450,LongHaul
A321,AIRBUS A321,158,81,0,11.8,3592,LongHaul
A21N,AIRBUS A321,158,81,0,11.8,3592,LongHaul
A332,AIRBUS A330-200,281,80,5,20.9,6590,LongHaul
A333,AIRBUS A330-300,278,78,4,21.7,6294,LongHaul
A343,AIRBUS A340-300,267,79,1,24.9,9990,LongHaul
A346,AIRBUS A340-600,307,81,1,31.7,6021,LongHaul
A359,AIRBUS A350-900,291,76,2,23.6,7564,LongHaul
A388,AIRBUS A380-800,499,82,17,47,6968,LongHaul
B738,BOEING 737-800,164,70,0,10.3,4203,LongHaul
B744,BOEING 747-400,344,81,12,38.1,6928,LongHaul
B752,BOEING 757-200,170,74,1,14.4,5487,LongHaul
B763,BOEING 767-300ER/F,201,76,4,19.1,6050,LongHaul
B772,BOEING 777-200,246,80,13,25.6,6738,LongHaul
B77L,BOEING 777-200,246,80,13,25.6,6738,LongHaul
B773,BOEING 777-300,340,81,16,28.7,7393,LongHaul
B77W,BOEING 777-300ER,300,83,3,30.6,8546,LongHaul
B788,BOEING 787-800 DREAMLINER,254,82,9,18.4,6833,LongHaul
B789,BOEING 787-900 DREAMLINER,263,82,10,19.8,7517,LongHaul